Launch Date,MITx,HarvardX
2012-09,2.0,0.0
2012-10,1.0,2.0
2013-02,4.0,0.0
2013-03,2.0,2.0
2013-04,1.0,0.0
2013-06,1.0,0.0
2013-09,5.0,1.0
2013-10,4.0,5.0
2014-02,5.0,2.0
2014-03,4.0,4.0
2014-04,2.0,4.0
2014-05,3.0,1.0
2014-06,5.0,1.0
2014-08,2.0,0.0
2014-09,6.0,9.0
2014-10,5.0,6.0
2014-11,1.0,2.0
2015-01,8.0,6.0
2015-02,7.0,5.0
2015-03,7.0,4.0
2015-04,3.0,4.0
2015-05,3.0,3.0
2015-06,6.0,2.0
2015-07,2.0,0.0
2015-08,2.0,1.0
2015-09,12.0,11.0
2015-10,8.0,12.0
2015-11,4.0,8.0
2015-12,2.0,2.0
2016-01,7.0,6.0
2016-02,8.0,3.0
2016-03,6.0,3.0
2016-04,6.0,5.0
2016-05,5.0,3.0
2016-06,8.0,2.0
2016-07,1.0,3.0
2016-08,3.0,0.0
2013-05,0.0,1.0
2013-11,0.0,1.0
2014-01,0.0,4.0
2014-07,0.0,1.0
